"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-07",99.078881168518,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-08",99.0356544261429,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-09",99.0653932717564,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-10",99.234987786998,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-11",99.4538494283997,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-12",99.5978321903578,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-01",99.5838866419441,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-02",99.51959284316,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-03",99.5540416276774,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-04",99.7790641359483,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-05",100.031718765013,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-06",100.060622897849,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-07",99.6646525119193,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-08",99.0553922839564,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-09",98.503010353792,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-10",98.1954229302202,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-11",98.040580599062,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1984-12",97.9088300404676,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-01",97.7225306538053,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-02",97.5225794099857,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-03",97.3938074130466,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-04",97.4040283188942,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-05",97.4719075071635,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-06",97.4871925879107,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-07",97.3732856258822,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-08",97.2024094723068,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-09",97.0812247549809,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-10",97.0934160599003,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-11",97.1925866766428,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1985-12",97.320518705988,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-01",97.4384538557136,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-02",97.5296128237897,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-03",97.579098708057,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-04",97.5805765975552,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-05",97.5846262476603,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-06",97.6646513374513,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-07",97.8802169664706,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-08",98.1644117117979,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-09",98.4344105303786,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-10",98.6334085450446,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-11",98.7867507572812,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1986-12",98.9333854450998,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-01",99.1029733633408,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-02",99.2997044683938,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-03",99.5283871187654,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-04",99.7933940888347,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-05",100.065657037291,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-06",100.311175215275,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-07",100.51226819614,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-08",100.715573375677,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-09",100.994017256925,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1987-10",101.406574536305,
