Time,Balance,Product,Value,Unit
May 2021,Net Electricity Production,Geothermal,0.0,GWh
May 2021,Net Electricity Production,Other Renewables,0.0,GWh
May 2021,Net Electricity Production,Not Specified,34.3333,GWh
May 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",32997.5087,GWh
May 2021,Total Imports,Electricity,868.533,GWh
May 2021,Total Exports,Electricity,5149.9272,GWh
May 2021,Used for pumped storage,Electricity,16.1514,GWh
May 2021,Distribution Losses,Electricity,2423.3432,GWh
May 2021,Final Consumption (Calculated),Electricity,41405.4822,GWh
April 2021,Net Electricity Production,Electricity,48513.6554,GWh
April 2021,Net Electricity Production,Nuclear,6915.6206,GWh
April 2021,Net Electricity Production,Total Combustible Fuels,8111.2289,GWh
April 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2212.9125,GWh
April 2021,Net Electricity Production,Oil and Petroleum Products,275.0081,GWh
April 2021,Net Electricity Production,Natural Gas,4964.3424,GWh
April 2021,Net Electricity Production,Combustible Renewables,650.6148,GWh
April 2021,Net Electricity Production,Other Combustible Non-Renewables,8.3511,GWh
April 2021,Net Electricity Production,Hydro,29980.5024,GWh
April 2021,Net Electricity Production,Wind,2834.9202,GWh
April 2021,Net Electricity Production,Solar,637.0499,GWh
April 2021,Net Electricity Production,Geothermal,0.0,GWh
April 2021,Net Electricity Production,Other Renewables,0.0,GWh
April 2021,Net Electricity Production,Not Specified,34.3333,GWh
April 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",34103.0873,GWh
April 2021,Total Imports,Electricity,782.3531,GWh
April 2021,Total Exports,Electricity,4539.0786,GWh
April 2021,Used for pumped storage,Electricity,16.6086,GWh
April 2021,Distribution Losses,Electricity,2476.9363,GWh
April 2021,Final Consumption (Calculated),Electricity,42263.3851,GWh
March 2021,Net Electricity Production,Electricity,56472.4716,GWh
March 2021,Net Electricity Production,Nuclear,6604.8719,GWh
March 2021,Net Electricity Production,Total Combustible Fuels,9435.5249,GWh
March 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2574.2081,GWh
March 2021,Net Electricity Production,Oil and Petroleum Products,319.9078,GWh
March 2021,Net Electricity Production,Natural Gas,5774.8557,GWh
March 2021,Net Electricity Production,Combustible Renewables,756.8387,GWh
March 2021,Net Electricity Production,Other Combustible Non-Renewables,9.7146,GWh
March 2021,Net Electricity Production,Hydro,35632.6572,GWh
March 2021,Net Electricity Production,Wind,4185.8124,GWh
March 2021,Net Electricity Production,Solar,579.2719,GWh
March 2021,Net Electricity Production,Geothermal,0.0,GWh
March 2021,Net Electricity Production,Other Renewables,0.0,GWh
March 2021,Net Electricity Production,Not Specified,34.3333,GWh
March 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",41154.5802,GWh
March 2021,Total Imports,Electricity,879.1602,GWh
March 2021,Total Exports,Electricity,4786.7831,GWh
March 2021,Used for pumped storage,Electricity,19.7397,GWh
March 2021,Distribution Losses,Electricity,2916.4801,GWh
March 2021,Final Consumption (Calculated),Electricity,49628.6289,GWh
February 2021,Net Electricity Production,Electricity,56836.1466,GWh
February 2021,Net Electricity Production,Nuclear,6104.5111,GWh
February 2021,Net Electricity Production,Total Combustible Fuels,10792.1523,GWh
February 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2944.3244,GWh
February 2021,Net Electricity Production,Oil and Petroleum Products,365.9038,GWh
February 2021,Net Electricity Production,Natural Gas,6605.1569,GWh
February 2021,Net Electricity Production,Combustible Renewables,865.656,GWh
February 2021,Net Electricity Production,Other Combustible Non-Renewables,11.1113,GWh
