Time,Balance,Product,Value,Unit
April 2022,Net Electricity Production,Oil and Petroleum Products,515.3702,GWh
April 2022,Net Electricity Production,Natural Gas,3108.4087,GWh
April 2022,Net Electricity Production,Combustible Renewables,703.6739,GWh
April 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
April 2022,Net Electricity Production,Hydro,5139.5483,GWh
April 2022,Net Electricity Production,Wind,3548.5329,GWh
April 2022,Net Electricity Production,Solar,1917.1103,GWh
April 2022,Net Electricity Production,Geothermal,7.9717,GWh
April 2022,Net Electricity Production,Other Renewables,39.8221,GWh
April 2022,Net Electricity Production,Not Specified,43.6602,GWh
April 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",11356.6592,GWh
April 2022,Total Imports,Electricity,3897.545,GWh
April 2022,Total Exports,Electricity,2718.473,GWh
April 2022,Used for pumped storage,Electricity,563.548,GWh
April 2022,Distribution Losses,Electricity,2868.1163,GWh
April 2022,Final Consumption (Calculated),Electricity,34900.1343,GWh
March 2022,Net Electricity Production,Electricity,43120.8592,GWh
March 2022,Net Electricity Production,Nuclear,26851.912,GWh
March 2022,Net Electricity Production,Total Combustible Fuels,6617.3197,GWh
March 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",712.4151,GWh
March 2022,Net Electricity Production,Oil and Petroleum Products,538.0432,GWh
March 2022,Net Electricity Production,Natural Gas,4359.8684,GWh
March 2022,Net Electricity Production,Combustible Renewables,831.5866,GWh
March 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
March 2022,Net Electricity Production,Hydro,4638.4693,GWh
March 2022,Net Electricity Production,Wind,3446.2924,GWh
March 2022,Net Electricity Production,Solar,1475.4118,GWh
March 2022,Net Electricity Production,Geothermal,7.9717,GWh
March 2022,Net Electricity Production,Other Renewables,39.8221,GWh
March 2022,Net Electricity Production,Not Specified,43.6602,GWh
March 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10439.5538,GWh
March 2022,Total Imports,Electricity,4145.9111,GWh
March 2022,Total Exports,Electricity,3053.8221,GWh
March 2022,Used for pumped storage,Electricity,606.0123,GWh
March 2022,Distribution Losses,Electricity,3574.7933,GWh
March 2022,Final Consumption (Calculated),Electricity,40032.1426,GWh
February 2022,Net Electricity Production,Electricity,46436.3785,GWh
February 2022,Net Electricity Production,Nuclear,29577.728,GWh
February 2022,Net Electricity Production,Total Combustible Fuels,5989.8567,GWh
February 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",973.3244,GWh
February 2022,Net Electricity Production,Oil and Petroleum Products,471.8667,GWh
February 2022,Net Electricity Production,Natural Gas,3415.0735,GWh
February 2022,Net Electricity Production,Combustible Renewables,954.1857,GWh
February 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
February 2022,Net Electricity Production,Hydro,4436.0312,GWh
February 2022,Net Electricity Production,Wind,5245.8685,GWh
February 2022,Net Electricity Production,Solar,1095.4401,GWh
February 2022,Net Electricity Production,Geothermal,7.9717,GWh
February 2022,Net Electricity Production,Other Renewables,39.8221,GWh
February 2022,Net Electricity Production,Not Specified,43.6602,GWh
February 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",11779.3193,GWh
February 2022,Total Imports,Electricity,2391.5789,GWh
February 2022,Total Exports,Electricity,4194.3394,GWh
February 2022,Used for pumped storage,Electricity,632.7845,GWh
February 2022,Distribution Losses,Electricity,3840.2324,GWh
February 2022,Final Consumption (Calculated),Electricity,40160.6011,GWh
January 2022,Net Electricity Production,Electricity,52666.8113,GWh
January 2022,Net Electricity Production,Nuclear,35220.278,GWh
January 2022,Net Electricity Production,Total Combustible Fuels,7405.7185,GWh
January 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",1250.4259,GWh
January 2022,Net Electricity Production,Oil and Petroleum Products,537.5242,GWh
January 2022,Net Electricity Production,Natural Gas,4658.0571,GWh
January 2022,Net Electricity Production,Combustible Renewables,784.3049,GWh
January 2022,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
January 2022,Net Electricity Production,Hydro,5985.7585,GWh
January 2022,Net Electricity Production,Wind,3132.0654,GWh
January 2022,Net Electricity Production,Solar,831.5369,GWh
January 2022,Net Electricity Production,Geothermal,7.9717,GWh
January 2022,Net Electricity Production,Other Renewables,39.8221,GWh
January 2022,Net Electricity Production,Not Specified,43.6602,GWh
January 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",10781.4594,GWh
January 2022,Total Imports,Electricity,4225.4096,GWh
January 2022,Total Exports,Electricity,3130.7161,GWh
January 2022,Used for pumped storage,Electricity,706.5179,GWh
January 2022,Distribution Losses,Electricity,4886.7874,GWh
January 2022,Final Consumption (Calculated),Electricity,48168.1995,GWh
December 2021,Net Electricity Production,Electricity,48586.6053,GWh
December 2021,Net Electricity Production,Nuclear,31503.128,GWh
December 2021,Net Electricity Production,Total Combustible Fuels,6690.1985,GWh
December 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",882.5273,GWh
December 2021,Net Electricity Production,Oil and Petroleum Products,467.2619,GWh
December 2021,Net Electricity Production,Natural Gas,4442.7364,GWh
December 2021,Net Electricity Production,Combustible Renewables,722.2665,GWh
December 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
December 2021,Net Electricity Production,Hydro,5363.8214,GWh
December 2021,Net Electricity Production,Wind,4318.2951,GWh
December 2021,Net Electricity Production,Solar,620.1492,GWh
December 2021,Net Electricity Production,Geothermal,7.5307,GWh
December 2021,Net Electricity Production,Other Renewables,39.8221,GWh
December 2021,Net Electricity Production,Not Specified,43.6602,GWh
December 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",11071.885,GWh
December 2021,Total Imports,Electricity,4649.3729,GWh
December 2021,Total Exports,Electricity,2598.6504,GWh
December 2021,Used for pumped storage,Electricity,803.3867,GWh
December 2021,Distribution Losses,Electricity,4527.4398,GWh
December 2021,Final Consumption (Calculated),Electricity,45306.5013,GWh
November 2021,Net Electricity Production,Electricity,44847.8452,GWh
November 2021,Net Electricity Production,Nuclear,30370.793,GWh
November 2021,Net Electricity Production,Total Combustible Fuels,6883.262,GWh
November 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",921.9012,GWh
November 2021,Net Electricity Production,Oil and Petroleum Products,555.4902,GWh
November 2021,Net Electricity Production,Natural Gas,4482.86,GWh
November 2021,Net Electricity Production,Combustible Renewables,747.6041,GWh
November 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
November 2021,Net Electricity Production,Hydro,4050.7126,GWh
November 2021,Net Electricity Production,Wind,2708.0609,GWh
November 2021,Net Electricity Production,Solar,744.0038,GWh
November 2021,Net Electricity Production,Geothermal,7.5307,GWh
November 2021,Net Electricity Production,Other Renewables,39.8221,GWh
November 2021,Net Electricity Production,Not Specified,43.6602,GWh
November 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",8297.7341,GWh
November 2021,Total Imports,Electricity,3725.252,GWh
November 2021,Total Exports,Electricity,2838.8822,GWh
November 2021,Used for pumped storage,Electricity,644.9455,GWh
November 2021,Distribution Losses,Electricity,3881.0382,GWh
November 2021,Final Consumption (Calculated),Electricity,41208.2313,GWh
October 2021,Net Electricity Production,Electricity,42544.1595,GWh
October 2021,Net Electricity Production,Nuclear,30658.264,GWh
October 2021,Net Electricity Production,Total Combustible Fuels,3923.7906,GWh
October 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",895.5039,GWh
October 2021,Net Electricity Production,Oil and Petroleum Products,452.4687,GWh
October 2021,Net Electricity Production,Natural Gas,1739.731,GWh
October 2021,Net Electricity Production,Combustible Renewables,660.6805,GWh
October 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
October 2021,Net Electricity Production,Hydro,3065.1885,GWh
October 2021,Net Electricity Production,Wind,3482.3126,GWh
October 2021,Net Electricity Production,Solar,1323.5908,GWh
October 2021,Net Electricity Production,Geothermal,7.5307,GWh
October 2021,Net Electricity Production,Other Renewables,39.8221,GWh
October 2021,Net Electricity Production,Not Specified,43.6602,GWh
October 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",8579.1251,GWh
October 2021,Total Imports,Electricity,1068.5003,GWh
October 2021,Total Exports,Electricity,5375.6172,GWh
October 2021,Used for pumped storage,Electricity,644.6874,GWh
October 2021,Distribution Losses,Electricity,2863.4697,GWh
October 2021,Final Consumption (Calculated),Electricity,34728.8854,GWh
September 2021,Net Electricity Production,Electricity,39309.6878,GWh
September 2021,Net Electricity Production,Nuclear,29001.324,GWh
September 2021,Net Electricity Production,Total Combustible Fuels,3549.7406,GWh
September 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",763.7961,GWh
September 2021,Net Electricity Production,Oil and Petroleum Products,414.0259,GWh
September 2021,Net Electricity Production,Natural Gas,1532.9224,GWh
September 2021,Net Electricity Production,Combustible Renewables,663.5897,GWh
September 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
September 2021,Net Electricity Production,Hydro,3455.5886,GWh
September 2021,Net Electricity Production,Wind,1659.0688,GWh
September 2021,Net Electricity Production,Solar,1552.9528,GWh
September 2021,Net Electricity Production,Geothermal,7.5307,GWh
September 2021,Net Electricity Production,Other Renewables,39.8221,GWh
September 2021,Net Electricity Production,Not Specified,43.6602,GWh
September 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",7378.5526,GWh
September 2021,Total Imports,Electricity,659.5951,GWh
September 2021,Total Exports,Electricity,6467.4893,GWh
September 2021,Used for pumped storage,Electricity,385.2577,GWh
September 2021,Distribution Losses,Electricity,2296.4772,GWh
September 2021,Final Consumption (Calculated),Electricity,30820.0587,GWh
August 2021,Net Electricity Production,Electricity,40391.5335,GWh
August 2021,Net Electricity Production,Nuclear,29010.95,GWh
August 2021,Net Electricity Production,Total Combustible Fuels,2761.8339,GWh
August 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",254.2133,GWh
August 2021,Net Electricity Production,Oil and Petroleum Products,405.4673,GWh
August 2021,Net Electricity Production,Natural Gas,933.7275,GWh
August 2021,Net Electricity Production,Combustible Renewables,993.0194,GWh
August 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
August 2021,Net Electricity Production,Hydro,4447.185,GWh
August 2021,Net Electricity Production,Wind,2220.1846,GWh
August 2021,Net Electricity Production,Solar,1860.3669,GWh
August 2021,Net Electricity Production,Geothermal,7.5307,GWh
August 2021,Net Electricity Production,Other Renewables,39.8221,GWh
August 2021,Net Electricity Production,Not Specified,43.6602,GWh
August 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",9568.1087,GWh
August 2021,Total Imports,Electricity,473.3087,GWh
August 2021,Total Exports,Electricity,8149.9641,GWh
August 2021,Used for pumped storage,Electricity,372.0198,GWh
August 2021,Distribution Losses,Electricity,2333.3141,GWh
August 2021,Final Consumption (Calculated),Electricity,30009.5443,GWh
July 2021,Net Electricity Production,Electricity,41603.8673,GWh
July 2021,Net Electricity Production,Nuclear,28449.338,GWh
July 2021,Net Electricity Production,Total Combustible Fuels,3242.4597,GWh
July 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",186.019,GWh
July 2021,Net Electricity Production,Oil and Petroleum Products,410.6429,GWh
July 2021,Net Electricity Production,Natural Gas,1587.4667,GWh
July 2021,Net Electricity Production,Combustible Renewables,882.9246,GWh
July 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
July 2021,Net Electricity Production,Hydro,5688.2437,GWh
July 2021,Net Electricity Production,Wind,2302.996,GWh
July 2021,Net Electricity Production,Solar,1829.817,GWh
