Time,Balance,Product,Value,Unit
January 2022,Net Electricity Production,Nuclear,3958.4371,GWh
January 2022,Net Electricity Production,Total Combustible Fuels,16812.4808,GWh
January 2022,Net Electricity Production,"Coal, Peat and Manufactured Gases",815.0366,GWh
January 2022,Net Electricity Production,Oil and Petroleum Products,194.7546,GWh
January 2022,Net Electricity Production,Natural Gas,11845.6578,GWh
January 2022,Net Electricity Production,Combustible Renewables,3582.7659,GWh
January 2022,Net Electricity Production,Other Combustible Non-Renewables,374.2659,GWh
January 2022,Net Electricity Production,Hydro,916.2428,GWh
January 2022,Net Electricity Production,Wind,8016.6098,GWh
January 2022,Net Electricity Production,Solar,471.6813,GWh
January 2022,Net Electricity Production,Other Renewables,0.4559,GWh
January 2022,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",12987.7557,GWh
January 2022,Total Imports,Electricity,2081.6748,GWh
January 2022,Total Exports,Electricity,662.8741,GWh
January 2022,Used for pumped storage,Electricity,316.4731,GWh
January 2022,Distribution Losses,Electricity,2640.5001,GWh
January 2022,Final Consumption (Calculated),Electricity,28637.7351,GWh
December 2021,Net Electricity Production,Electricity,28150.327,GWh
December 2021,Net Electricity Production,Nuclear,4096.8467,GWh
December 2021,Net Electricity Production,Total Combustible Fuels,16121.3353,GWh
December 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",890.8097,GWh
December 2021,Net Electricity Production,Oil and Petroleum Products,147.555,GWh
December 2021,Net Electricity Production,Natural Gas,11020.8778,GWh
December 2021,Net Electricity Production,Combustible Renewables,3650.9486,GWh
December 2021,Net Electricity Production,Other Combustible Non-Renewables,411.1443,GWh
December 2021,Net Electricity Production,Hydro,901.3297,GWh
December 2021,Net Electricity Production,Wind,6779.7406,GWh
December 2021,Net Electricity Production,Solar,250.6187,GWh
December 2021,Net Electricity Production,Geothermal,0.0,GWh
December 2021,Net Electricity Production,Other Renewables,0.4559,GWh
December 2021,Net Electricity Production,Not Specified,0.0,GWh
December 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",11583.0935,GWh
December 2021,Total Imports,Electricity,2147.0721,GWh
December 2021,Total Exports,Electricity,661.7156,GWh
December 2021,Used for pumped storage,Electricity,265.1829,GWh
December 2021,Distribution Losses,Electricity,2685.8448,GWh
December 2021,Final Consumption (Calculated),Electricity,26684.6558,GWh
November 2021,Net Electricity Production,Electricity,27521.2955,GWh
November 2021,Net Electricity Production,Nuclear,3902.2926,GWh
November 2021,Net Electricity Production,Total Combustible Fuels,15131.7063,GWh
November 2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",825.7486,GWh
November 2021,Net Electricity Production,Oil and Petroleum Products,119.1358,GWh
November 2021,Net Electricity Production,Natural Gas,10395.2101,GWh
November 2021,Net Electricity Production,Combustible Renewables,3389.5733,GWh
November 2021,Net Electricity Production,Other Combustible Non-Renewables,402.0385,GWh
